section|principle|marker_id|question|deficit_if|weight|evidence_required
scene_craft|enter_late_leave_early|elle-1|Does the scene open with setup, arrival, or preamble before the first moment of tension or meaningful action?|yes|2|Quote the opening lines that precede the tension
scene_craft|enter_late_leave_early|elle-2|Does the scene continue past its turning point into reflection, restatement, or transition to the next location?|yes|2|Quote the passage after the turn that could be cut
scene_craft|enter_late_leave_early|elle-3|Could the first paragraph (or more) be removed without the reader losing essential information?|yes|1|Quote the cuttable opening material
scene_craft|enter_late_leave_early|elle-4|Does the scene's final line miss the moment of emotional resonance or changed understanding — landing instead on flat logistics, redundant summary, or anticlimax?|yes|1|Quote the final lines and explain what they fail to land on
scene_craft|every_scene_must_turn|esmt-1|Does the scene lack an articulable central question — no clear "what is at stake here?"?|yes|2|Explain why no single-sentence question can be stated, or state the vague/absent question
scene_craft|every_scene_must_turn|esmt-2|Does the scene end with no value having changed — no relationship shift, no information revealed, no commitment deepened or broken?|yes|2|Explain what remains unchanged between opening and closing
scene_craft|every_scene_must_turn|esmt-3|Is the scene's change unearned — arriving from outside, by coincidence, or by authorial fiat rather than from the scene's internal logic?|yes|1|Explain how the change arrives without being produced by the scene's own events
scene_craft|every_scene_must_turn|esmt-4|Could this scene be removed without the reader noticing a gap in the narrative?|yes|1|Explain why the scene's absence would go unnoticed
scene_craft|scene_emotion_vs_character|sevc-1|Are the scene's emotion and the character's emotion identical — no irony, no dramatic tension, no undercurrents?|yes|2|Identify both the character emotion and the reader emotion, noting the absence of any gap between them
scene_craft|scene_emotion_vs_character|sevc-2|Does the scene rely on direct authorial announcement to create emotional distance from the character ("she didn't know it would be the last time...")?|yes|2|Quote the authorial intrusion
scene_craft|scene_emotion_vs_character|sevc-3|Is the scene's emotional effect no richer than the character's stated internal state — no additional layers, complexity, or resonance for the reader?|yes|1|Describe how the reader's experience mirrors the character's feelings with no additional depth
scene_craft|scene_emotion_vs_character|sevc-4|Does the scene rely on exposition rather than craft — detail selection, juxtaposition, or pacing — to create its emotional effect on the reader?|yes|1|Quote a passage where exposition replaces craft in producing emotion
